validation_set_corpus_pct,topics_range,alpha,eta,minimum_probability,bigram_min_count,coherence
1.0,10,asymmetric,,0.001,7,0.3387856107586201
1.0,10,asymmetric,,0.01,7,0.34089809741632665
1.0,10,asymmetric,,0.1,7,0.3481732804692851
1.0,12,symmetric,symmetric,0.001,7,0.3772196320411583
1.0,12,symmetric,symmetric,0.01,7,0.3716969383988504
1.0,12,symmetric,symmetric,0.1,7,0.37063636365115055
1.0,12,symmetric,auto,0.001,7,0.3727718772571012
1.0,12,symmetric,auto,0.01,7,0.3687620871096842
1.0,12,symmetric,auto,0.1,7,0.36339763055679164
1.0,12,symmetric,,0.001,7,0.3661666729219015
1.0,12,symmetric,,0.01,7,0.36023005395478336
1.0,12,symmetric,,0.1,7,0.3674245618592476
1.0,12,asymmetric,symmetric,0.001,7,0.35782930668811824
1.0,12,asymmetric,symmetric,0.01,7,0.35770771523524214
1.0,12,asymmetric,symmetric,0.1,7,0.3581160639487509
1.0,12,asymmetric,auto,0.001,7,0.3638590810800322
1.0,12,asymmetric,auto,0.01,7,0.3638907657454495
1.0,12,asymmetric,auto,0.1,7,0.3526614320966102
1.0,12,asymmetric,,0.001,7,0.36071098055006895
1.0,12,asymmetric,,0.01,7,0.3615343163020903
1.0,12,asymmetric,,0.1,7,0.36644554872671015
1.0,14,symmetric,symmetric,0.001,7,0.34909154541271914
1.0,14,symmetric,symmetric,0.01,7,0.35910359076905846
1.0,14,symmetric,symmetric,0.1,7,0.35584040365218816
1.0,14,symmetric,auto,0.001,7,0.35820665821223147
1.0,14,symmetric,auto,0.01,7,0.34686890424821365
1.0,14,symmetric,auto,0.1,7,0.35325633360773623
1.0,14,symmetric,,0.001,7,0.3606244129861683
1.0,14,symmetric,,0.01,7,0.35512454062859083
1.0,14,symmetric,,0.1,7,0.34725560208467326
1.0,14,asymmetric,symmetric,0.001,7,0.363063268118965
1.0,14,asymmetric,symmetric,0.01,7,0.3449201304638268
1.0,14,asymmetric,symmetric,0.1,7,0.35002191574814384
1.0,14,asymmetric,auto,0.001,7,0.35496347686852975
1.0,14,asymmetric,auto,0.01,7,0.34950821542784066
1.0,14,asymmetric,auto,0.1,7,0.3508378994263185
1.0,14,asymmetric,,0.001,7,0.35767977695914016
1.0,14,asymmetric,,0.01,7,0.3387816617256815
1.0,14,asymmetric,,0.1,7,0.35740309408087423
